county,office,congressional_district,party,candidate,votes
Elbert,U.S. President,9,Democratic,Michael Steinberg,5
Effingham,U.S. President,1,Democratic,Hillary Clinton,696
Effingham,U.S. President,12,Democratic,Hillary Clinton,483
Effingham,U.S. President,1,Democratic,Martin O'Malley,7
Effingham,U.S. President,12,Democratic,Martin O'Malley,5
Effingham,U.S. President,1,Democratic,Bernie Sanders,397
Effingham,U.S. President,12,Democratic,Bernie Sanders,224
Effingham,U.S. President,1,Democratic,Michael Steinberg,9
Effingham,U.S. President,12,Democratic,Michael Steinberg,8
Echols,U.S. President,1,Democratic,Hillary Clinton,32
Echols,U.S. President,1,Democratic,Martin O'Malley,1
Echols,U.S. President,1,Democratic,Bernie Sanders,36
Echols,U.S. President,1,Democratic,Michael Steinberg,1
Early,U.S. President,2,Democratic,Hillary Clinton,673
Early,U.S. President,2,Democratic,Martin O'Malley,1
Early,U.S. President,2,Democratic,Bernie Sanders,76
Early,U.S. President,2,Democratic,Michael Steinberg,4
Douglas,U.S. President,13,Democratic,Hillary Clinton,9393
Douglas,U.S. President,13,Democratic,Martin O'Malley,21
Douglas,U.S. President,13,Democratic,Bernie Sanders,3151
Douglas,U.S. President,13,Democratic,Michael Steinberg,26
Dougherty,U.S. President,2,Democratic,Hillary Clinton,8920
Dougherty,U.S. President,2,Democratic,Martin O'Malley,25
Dougherty,U.S. President,2,Democratic,Bernie Sanders,1439
Dougherty,U.S. President,2,Democratic,Michael Steinberg,22
Dooly,U.S. President,2,Democratic,Hillary Clinton,740
Dooly,U.S. President,2,Democratic,Martin O'Malley,4
Dooly,U.S. President,2,Democratic,Bernie Sanders,91
Dooly,U.S. President,2,Democratic,Michael Steinberg,2
Dodge,U.S. President,8,Democratic,Hillary Clinton,579
Dodge,U.S. President,8,Democratic,Martin O'Malley,2
Dodge,U.S. President,8,Democratic,Bernie Sanders,141
Dodge,U.S. President,8,Democratic,Michael Steinberg,6
DeKalb,U.S. President,4,Democratic,Hillary Clinton,48558
DeKalb,U.S. President,5,Democratic,Hillary Clinton,23936
DeKalb,U.S. President,6,Democratic,Hillary Clinton,10107
DeKalb,U.S. President,4,Democratic,Martin O'Malley,85
DeKalb,U.S. President,5,Democratic,Martin O'Malley,52
DeKalb,U.S. President,6,Democratic,Martin O'Malley,33
DeKalb,U.S. President,4,Democratic,Bernie Sanders,15150
DeKalb,U.S. President,5,Democratic,Bernie Sanders,11116
DeKalb,U.S. President,6,Democratic,Bernie Sanders,6441
DeKalb,U.S. President,4,Democratic,Michael Steinberg,56
DeKalb,U.S. President,5,Democratic,Michael Steinberg,26
DeKalb,U.S. President,6,Democratic,Michael Steinberg,13
Decatur,U.S. President,2,Democratic,Hillary Clinton,1325
Decatur,U.S. President,2,Democratic,Martin O'Malley,8
Decatur,U.S. President,2,Democratic,Bernie Sanders,337
Decatur,U.S. President,2,Democratic,Michael Steinberg,9
Dawson,U.S. President,9,Democratic,Hillary Clinton,312
Dawson,U.S. President,9,Democratic,Martin O'Malley,5
Dawson,U.S. President,9,Democratic,Bernie Sanders,269
Dawson,U.S. President,9,Democratic,Michael Steinberg,4
Dade,U.S. President,14,Democratic,Hillary Clinton,242
Dade,U.S. President,14,Democratic,Martin O'Malley,1
Dade,U.S. President,14,Democratic,Bernie Sanders,231
Dade,U.S. President,14,Democratic,Michael Steinberg,7
Crisp,U.S. President,2,Democratic,Hillary Clinton,731
Crisp,U.S. President,2,Democratic,Martin O'Malley,3
Crisp,U.S. President,2,Democratic,Bernie Sanders,172
Crisp,U.S. President,2,Democratic,Michael Steinberg,6
Crawford,U.S. President,2,Democratic,Hillary Clinton,493
Crawford,U.S. President,2,Democratic,Martin O'Malley,6
Crawford,U.S. President,2,Democratic,Bernie Sanders,120
Crawford,U.S. President,2,Democratic,Michael Steinberg,4
Coweta,U.S. President,3,Democratic,Hillary Clinton,4359
Coweta,U.S. President,3,Democratic,Martin O'Malley,30
Coweta,U.S. President,3,Democratic,Bernie Sanders,2235
Coweta,U.S. President,3,Democratic,Michael Steinberg,25
Cook,U.S. President,8,Democratic,Hillary Clinton,580
Cook,U.S. President,8,Democratic,Martin O'Malley,8
Cook,U.S. President,8,Democratic,Bernie Sanders,171
Cook,U.S. President,8,Democratic,Michael Steinberg,2
Columbia,U.S. President,10,Democratic,Hillary Clinton,670
Columbia,U.S. President,12,Democratic,Hillary Clinton,4136
Columbia,U.S. President,10,Democratic,Martin O'Malley,3
Columbia,U.S. President,12,Democratic,Martin O'Malley,20
Columbia,U.S. President,10,Democratic,Bernie Sanders,260
Columbia,U.S. President,12,Democratic,Bernie Sanders,2078
Columbia,U.S. President,10,Democratic,Michael Steinberg,7
Columbia,U.S. President,12,Democratic,Michael Steinberg,17
Colquitt,U.S. President,8,Democratic,Hillary Clinton,1035
Colquitt,U.S. President,8,Democratic,Martin O'Malley,12
Colquitt,U.S. President,8,Democratic,Bernie Sanders,302
Colquitt,U.S. President,8,Democratic,Michael Steinberg,11
Coffee,U.S. President,12,Democratic,Hillary Clinton,1094
Coffee,U.S. President,12,Democratic,Martin O'Malley,10
Coffee,U.S. President,12,Democratic,Bernie Sanders,309
Coffee,U.S. President,12,Democratic,Michael Steinberg,8
Cobb,U.S. President,6,Democratic,Hillary Clinton,8634
Cobb,U.S. President,11,Democratic,Hillary Clinton,16752
Cobb,U.S. President,13,Democratic,Hillary Clinton,14123
Cobb,U.S. President,6,Democratic,Martin O'Malley,42
Cobb,U.S. President,11,Democratic,Martin O'Malley,61
Cobb,U.S. President,13,Democratic,Martin O'Malley,34
Cobb,U.S. President,6,Democratic,Bernie Sanders,6560
Cobb,U.S. President,11,Democratic,Bernie Sanders,10585
Cobb,U.S. President,13,Democratic,Bernie Sanders,5375
Cobb,U.S. President,6,Democratic,Michael Steinberg,20
Cobb,U.S. President,11,Democratic,Michael Steinberg,38
Cobb,U.S. President,13,Democratic,Michael Steinberg,28
Clinch,U.S. President,1,Democratic,Hillary Clinton,167
Clinch,U.S. President,1,Democratic,Martin O'Malley,1
Clinch,U.S. President,1,Democratic,Bernie Sanders,38
Clinch,U.S. President,1,Democratic,Michael Steinberg,4
Clayton,U.S. President,5,Democratic,Hillary Clinton,8460
Clayton,U.S. President,13,Democratic,Hillary Clinton,16691
Clayton,U.S. President,5,Democratic,Martin O'Malley,20
Clayton,U.S. President,13,Democratic,Martin O'Malley,40
Clayton,U.S. President,5,Democratic,Bernie Sanders,1956
Clayton,U.S. President,13,Democratic,Bernie Sanders,3601
Clayton,U.S. President,5,Democratic,Michael Steinberg,15
Clayton,U.S. President,13,Democratic,Michael Steinberg,23
Clay,U.S. President,2,Democratic,Hillary Clinton,298
Clay,U.S. President,2,Democratic,Martin O'Malley,3
Clay,U.S. President,2,Democratic,Bernie Sanders,44
Clay,U.S. President,2,Democratic,Michael Steinberg,2
Clarke,U.S. President,9,Democratic,Hillary Clinton,1062
Clarke,U.S. President,10,Democratic,Hillary Clinton,6045
Clarke,U.S. President,9,Democratic,Martin O'Malley,2
Clarke,U.S. President,10,Democratic,Martin O'Malley,19
Clarke,U.S. President,9,Democratic,Bernie Sanders,458
Clarke,U.S. President,10,Democratic,Bernie Sanders,6420
Clarke,U.S. President,9,Democratic,Michael Steinberg,4
Clarke,U.S. President,10,Democratic,Michael Steinberg,17
Cherokee,U.S. President,11,Democratic,Hillary Clinton,4844
Cherokee,U.S. President,11,Democratic,Martin O'Malley,29
Cherokee,U.S. President,11,Democratic,Bernie Sanders,4442
Cherokee,U.S. President,11,Democratic,Michael Steinberg,25
Chattooga,U.S. President,14,Democratic,Hillary Clinton,568
Chattooga,U.S. President,14,Democratic,Martin O'Malley,7
Chattooga,U.S. President,14,Democratic,Bernie Sanders,302
Chattooga,U.S. President,14,Democratic,Michael Steinberg,14
Chattahoochee,U.S. President,2,Democratic,Hillary Clinton,182
Chattahoochee,U.S. President,2,Democratic,Martin O'Malley,1
Chattahoochee,U.S. President,2,Democratic,Bernie Sanders,40
Chattahoochee,U.S. President,2,Democratic,Michael Steinberg,1
Chatham,U.S. President,1,Democratic,Hillary Clinton,19916
Chatham,U.S. President,1,Democratic,Martin O'Malley,72
Chatham,U.S. President,1,Democratic,Bernie Sanders,7507
Chatham,U.S. President,1,Democratic,Michael Steinberg,51
Charlton,U.S. President,1,Democratic,Hillary Clinton,275
Charlton,U.S. President,1,Democratic,Martin O'Malley,8
Charlton,U.S. President,1,Democratic,Bernie Sanders,84
Charlton,U.S. President,1,Democratic,Michael Steinberg,6
Catoosa,U.S. President,14,Democratic,Hillary Clinton,1088
Catoosa,U.S. President,14,Democratic,Martin O'Malley,11
Catoosa,U.S. President,14,Democratic,Bernie Sanders,1027
Catoosa,U.S. President,14,Democratic,Michael Steinberg,13
Carroll,U.S. President,3,Democratic,Hillary Clinton,3186
Carroll,U.S. President,3,Democratic,Martin O'Malley,15
Carroll,U.S. President,3,Democratic,Bernie Sanders,1941
Carroll,U.S. President,3,Democratic,Michael Steinberg,18
Candler,U.S. President,12,Democratic,Hillary Clinton,435
Candler,U.S. President,12,Democratic,Martin O'Malley,5
Candler,U.S. President,12,Democratic,Bernie Sanders,111
Candler,U.S. President,12,Democratic,Michael Steinberg,5
Camden,U.S. President,1,Democratic,Hillary Clinton,1405
Camden,U.S. President,1,Democratic,Martin O'Malley,6
Camden,U.S. President,1,Democratic,Bernie Sanders,690
Camden,U.S. President,1,Democratic,Michael Steinberg,10
Calhoun,U.S. President,2,Democratic,Hillary Clinton,499
Calhoun,U.S. President,2,Democratic,Martin O'Malley,0
Calhoun,U.S. President,2,Democratic,Bernie Sanders,61
Calhoun,U.S. President,2,Democratic,Michael Steinberg,1
Butts,U.S. President,10,Democratic,Hillary Clinton,922
Butts,U.S. President,10,Democratic,Martin O'Malley,6
Butts,U.S. President,10,Democratic,Bernie Sanders,191
Butts,U.S. President,10,Democratic,Michael Steinberg,9
Burke,U.S. President,12,Democratic,Hillary Clinton,1660
Burke,U.S. President,12,Democratic,Martin O'Malley,6
Burke,U.S. President,12,Democratic,Bernie Sanders,185
Burke,U.S. President,12,Democratic,Michael Steinberg,4
Bulloch,U.S. President,12,Democratic,Hillary Clinton,1916
Bulloch,U.S. President,12,Democratic,Martin O'Malley,7
Bulloch,U.S. President,12,Democratic,Bernie Sanders,1227
Bulloch,U.S. President,12,Democratic,Michael Steinberg,9
Bryan,U.S. President,1,Democratic,Hillary Clinton,895
Bryan,U.S. President,1,Democratic,Martin O'Malley,8
Bryan,U.S. President,1,Democratic,Bernie Sanders,502
Bryan,U.S. President,1,Democratic,Michael Steinberg,8
Brooks,U.S. President,8,Democratic,Hillary Clinton,726
Brooks,U.S. President,8,Democratic,Martin O'Malley,6
Brooks,U.S. President,8,Democratic,Bernie Sanders,198
Brooks,U.S. President,8,Democratic,Michael Steinberg,2
Brantley,U.S. President,1,Democratic,Hillary Clinton,137
Brantley,U.S. President,1,Democratic,Martin O'Malley,14
Brantley,U.S. President,1,Democratic,Bernie Sanders,125
Brantley,U.S. President,1,Democratic,Michael Steinberg,5
Bleckley,U.S. President,8,Democratic,Hillary Clinton,370
Bleckley,U.S. President,8,Democratic,Martin O'Malley,6
Bleckley,U.S. President,8,Democratic,Bernie Sanders,98
Bleckley,U.S. President,8,Democratic,Michael Steinberg,2
Bibb,U.S. President,2,Democratic,Hillary Clinton,10560
Bibb,U.S. President,8,Democratic,Hillary Clinton,2459
Bibb,U.S. President,2,Democratic,Martin O'Malley,25
Bibb,U.S. President,8,Democratic,Martin O'Malley,9
Bibb,U.S. President,2,Democratic,Bernie Sanders,1619
Bibb,U.S. President,8,Democratic,Bernie Sanders,1031
Bibb,U.S. President,2,Democratic,Michael Steinberg,23
Bibb,U.S. President,8,Democratic,Michael Steinberg,5
Berrien,U.S. President,8,Democratic,Hillary Clinton,326
Berrien,U.S. President,8,Democratic,Martin O'Malley,7
Berrien,U.S. President,8,Democratic,Bernie Sanders,146
Berrien,U.S. President,8,Democratic,Michael Steinberg,9
Ben Hill,U.S. President,8,Democratic,Hillary Clinton,780
Ben Hill,U.S. President,8,Democratic,Martin O'Malley,8
Ben Hill,U.S. President,8,Democratic,Bernie Sanders,180
Ben Hill,U.S. President,8,Democratic,Michael Steinberg,5
Bartow,U.S. President,11,Democratic,Hillary Clinton,2219
Bartow,U.S. President,11,Democratic,Martin O'Malley,25
Bartow,U.S. President,11,Democratic,Bernie Sanders,1495
Bartow,U.S. President,11,Democratic,Michael Steinberg,24
Barrow,U.S. President,10,Democratic,Hillary Clinton,1458
Barrow,U.S. President,10,Democratic,Martin O'Malley,9
Barrow,U.S. President,10,Democratic,Bernie Sanders,879
Barrow,U.S. President,10,Democratic,Michael Steinberg,16
Banks,U.S. President,9,Democratic,Hillary Clinton,172
Banks,U.S. President,9,Democratic,Martin O'Malley,7
Banks,U.S. President,9,Democratic,Bernie Sanders,169
Banks,U.S. President,9,Democratic,Michael Steinberg,3
Baldwin,U.S. President,10,Democratic,Hillary Clinton,3036
Baldwin,U.S. President,10,Democratic,Martin O'Malley,15
Baldwin,U.S. President,10,Democratic,Bernie Sanders,764
Baldwin,U.S. President,10,Democratic,Michael Steinberg,10
Baker,U.S. President,2,Democratic,Hillary Clinton,304
Baker,U.S. President,2,Democratic,Martin O'Malley,3
Baker,U.S. President,2,Democratic,Bernie Sanders,48
Baker,U.S. President,2,Democratic,Michael Steinberg,2
Bacon,U.S. President,1,Democratic,Hillary Clinton,113
Bacon,U.S. President,1,Democratic,Martin O'Malley,3
Bacon,U.S. President,1,Democratic,Bernie Sanders,58
Bacon,U.S. President,1,Democratic,Michael Steinberg,3
Atkinson,U.S. President,8,Democratic,Hillary Clinton,201
Atkinson,U.S. President,8,Democratic,Martin O'Malley,0
Atkinson,U.S. President,8,Democratic,Bernie Sanders,49
Atkinson,U.S. President,8,Democratic,Michael Steinberg,2
Appling,U.S. President,12,Democratic,Hillary Clinton,491
Appling,U.S. President,12,Democratic,Martin O'Malley,11
Appling,U.S. President,12,Democratic,Bernie Sanders,143
Appling,U.S. President,12,Democratic,Michael Steinberg,5
