county,precinct,office,district,party,candidate,total_votes
Chatham,6-06C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,466
Chatham,8-18C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,519
Chatham,2-11C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,684
Chatham,6-03C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,998
Chatham,8-17C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1225
Chatham,7-11C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1126
Chatham,8-12C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,635
Chatham,6-01C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,632
Chatham,1-09C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,689
Chatham,4-11C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,375
Chatham,7-14C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,2507
Chatham,3-04C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,763
Chatham,3-05C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,860
Chatham,3-09C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,692
Chatham,3-10C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1262
Chatham,7-07C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1012
Chatham,8-01C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,924
Chatham,7-17C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,728
Chatham,7-16C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1494
Chatham,7-15C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1387
Chatham,8-02C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,861
Chatham,1-17C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,628
Chatham,3-11C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,625
Chatham,3-12C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,566
Chatham,3-13C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1041
Chatham,8-03C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,345
Chatham,8-05C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,578
Chatham,8-06C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,457
Chatham,8-08C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,986
Chatham,3-14C,District Attorney,Eastern Judicial Circuit,Democrat,Shalena Cook Jones,1060
Chatham,7-15C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,773
Chatham,1-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,761
Chatham,1-16C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1728
Chatham,1-14C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,879
Chatham,1-13C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,657
Chatham,6-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1083
Chatham,2-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,472
Chatham,4-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,735
Chatham,7-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1554
Chatham,8-15C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,112
Chatham,7-04C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,538
Chatham,7-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1066
Chatham,7-14C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1827
Chatham,8-02C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,285
Chatham,7-13C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1330
Chatham,7-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,848
Chatham,1-17C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1912
Chatham,7-07C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1652
Chatham,7-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,665
Chatham,3-02C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,550
Chatham,1-01C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1376
Chatham,1-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,837
Chatham,4-02C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1199
Chatham,6-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,909
Chatham,7-17C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1312
Chatham,6-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,342
Chatham,7-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,303
Chatham,8-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,66
Chatham,6-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1562
Chatham,6-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1209
Chatham,7-01C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,445
Chatham,7-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,445
Chatham,5-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,349
Chatham,8-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,596
Chatham,2-02C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,271
Chatham,4-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1713
Chatham,5-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,113
Chatham,7-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1158
Chatham,7-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1020
Chatham,4-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,866
Chatham,8-18C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,381
Chatham,4-07C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1752
Chatham,6-02C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1088
Chatham,6-01C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,463
Chatham,3-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,548
Chatham,3-04C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,108
Chatham,4-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1398
Chatham,8-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,221
Chatham,6-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,452
Chatham,8-16C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1178
Chatham,4-04C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1301
Chatham,3-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,86
Chatham,3-14C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,431
Chatham,2-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,205
Chatham,3-13C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,654
Chatham,8-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,70
Chatham,3-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,213
Chatham,4-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1302
Chatham,3-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,581
Chatham,3-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,363
Chatham,7-16C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1021
Chatham,3-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,275
Chatham,8-17C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,781
Chatham,1-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,368
Chatham,2-03C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,221
Chatham,6-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,490
Chatham,4-13C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1663
Chatham,1-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,952
Chatham,1-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,717
Chatham,5-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,416
Chatham,2-07C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,384
Chatham,2-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,474
Chatham,2-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,291
Chatham,2-04C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,198
Chatham,8-09C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,50
Chatham,8-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,56
Chatham,8-11C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,47
Chatham,2-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,222
Chatham,4-14C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,2309
Chatham,1-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1318
Chatham,5-05C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,109
Chatham,5-06C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,312
Chatham,5-07C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,233
Chatham,4-12C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,1534
Chatham,5-10C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,196
Chatham,8-01C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,372
Chatham,8-08C,District Attorney,Eastern Judicial Circuit,Republican,André Pretorius,101
Chatham,6-01C,President,,Democrat,Kamala D. Harris,698
Chatham,8-12C,President,,Democrat,Kamala D. Harris,681
Chatham,8-06C,President,,Democrat,Kamala D. Harris,490
Chatham,2-03C,President,,Democrat,Kamala D. Harris,731
Chatham,7-17C,President,,Democrat,Kamala D. Harris,836
Chatham,7-04C,President,,Democrat,Kamala D. Harris,1521
Chatham,3-02C,President,,Democrat,Kamala D. Harris,733
Chatham,3-14C,President,,Democrat,Kamala D. Harris,1182
Chatham,4-02C,President,,Democrat,Kamala D. Harris,645
Chatham,3-11C,President,,Democrat,Kamala D. Harris,680
Chatham,6-10C,President,,Democrat,Kamala D. Harris,1631
Chatham,8-15C,President,,Democrat,Kamala D. Harris,716
Chatham,6-11C,President,,Democrat,Kamala D. Harris,2202
Chatham,7-01C,President,,Democrat,Kamala D. Harris,417
Chatham,7-03C,President,,Democrat,Kamala D. Harris,252
Chatham,7-07C,President,,Democrat,Kamala D. Harris,1091
Chatham,5-08C,President,,Democrat,Kamala D. Harris,777
Chatham,3-12C,President,,Democrat,Kamala D. Harris,631
Chatham,8-05C,President,,Democrat,Kamala D. Harris,617
Chatham,1-01C,President,,Democrat,Kamala D. Harris,1705
Chatham,8-02C,President,,Democrat,Kamala D. Harris,958
Chatham,1-05C,President,,Democrat,Kamala D. Harris,1077
Chatham,8-11C,President,,Democrat,Kamala D. Harris,870
Chatham,6-08C,President,,Democrat,Kamala D. Harris,917
Chatham,3-10C,President,,Democrat,Kamala D. Harris,1363
Chatham,8-09C,President,,Democrat,Kamala D. Harris,630
Chatham,7-08C,President,,Democrat,Kamala D. Harris,779
Chatham,8-10C,President,,Democrat,Kamala D. Harris,883
Chatham,7-16C,President,,Democrat,Kamala D. Harris,1612
Chatham,3-09C,President,,Democrat,Kamala D. Harris,785
Chatham,8-18C,President,,Democrat,Kamala D. Harris,534
Chatham,7-15C,President,,Democrat,Kamala D. Harris,1454
Chatham,7-14C,President,,Democrat,Kamala D. Harris,2748
Chatham,7-06C,President,,Democrat,Kamala D. Harris,1076
Chatham,7-13C,President,,Democrat,Kamala D. Harris,855
Chatham,7-12C,President,,Democrat,Kamala D. Harris,1604
Chatham,7-11C,President,,Democrat,Kamala D. Harris,1198
Chatham,7-10C,President,,Democrat,Kamala D. Harris,1858
Chatham,7-09C,President,,Democrat,Kamala D. Harris,1180
Chatham,8-17C,President,,Democrat,Kamala D. Harris,1270
Chatham,5-03C,President,,Democrat,Kamala D. Harris,834
Chatham,8-08C,President,,Democrat,Kamala D. Harris,1081
Chatham,5-05C,President,,Democrat,Kamala D. Harris,1547
Chatham,5-07C,President,,Democrat,Kamala D. Harris,673
Chatham,2-11C,President,,Democrat,Kamala D. Harris,752
Chatham,4-11C,President,,Democrat,Kamala D. Harris,525
Chatham,4-12C,President,,Democrat,Kamala D. Harris,668
Chatham,6-03C,President,,Democrat,Kamala D. Harris,1151
Chatham,6-09C,President,,Democrat,Kamala D. Harris,1282
Chatham,6-02C,President,,Democrat,Kamala D. Harris,770
Chatham,4-13C,President,,Democrat,Kamala D. Harris,825
Chatham,2-09C,President,,Democrat,Kamala D. Harris,1682
Chatham,3-03C,President,,Democrat,Kamala D. Harris,561
Chatham,2-12C,President,,Democrat,Kamala D. Harris,887
Chatham,4-07C,President,,Democrat,Kamala D. Harris,968
Chatham,6-06C,President,,Democrat,Kamala D. Harris,520
Chatham,4-04C,President,,Democrat,Kamala D. Harris,605
Chatham,2-07C,President,,Democrat,Kamala D. Harris,1303
Chatham,2-06C,President,,Democrat,Kamala D. Harris,672
Chatham,2-05C,President,,Democrat,Kamala D. Harris,1455
Chatham,2-04C,President,,Democrat,Kamala D. Harris,1264
Chatham,6-05C,President,,Democrat,Kamala D. Harris,848
Chatham,8-03C,President,,Democrat,Kamala D. Harris,355
Chatham,4-06C,President,,Democrat,Kamala D. Harris,558
Chatham,5-06C,President,,Democrat,Kamala D. Harris,966
Chatham,3-05C,President,,Democrat,Kamala D. Harris,943
Chatham,1-16C,President,,Democrat,Kamala D. Harris,619
Chatham,5-10C,President,,Democrat,Kamala D. Harris,1778
Chatham,1-06C,President,,Democrat,Kamala D. Harris,782
Chatham,8-01C,President,,Democrat,Kamala D. Harris,1037
Chatham,1-08C,President,,Democrat,Kamala D. Harris,608
Chatham,7-05C,President,,Democrat,Kamala D. Harris,416
Chatham,1-09C,President,,Democrat,Kamala D. Harris,743
Chatham,5-11C,President,,Democrat,Kamala D. Harris,1322
Chatham,1-10C,President,,Democrat,Kamala D. Harris,299
Chatham,1-13C,President,,Democrat,Kamala D. Harris,441
Chatham,1-14C,President,,Democrat,Kamala D. Harris,530
Chatham,4-14C,President,,Democrat,Kamala D. Harris,1277
Chatham,1-17C,President,,Democrat,Kamala D. Harris,850
Chatham,8-16C,President,,Democrat,Kamala D. Harris,1309
Chatham,2-02C,President,,Democrat,Kamala D. Harris,794
Chatham,1-12C,President,,Democrat,Kamala D. Harris,549
Chatham,3-13C,President,,Democrat,Kamala D. Harris,1139
Chatham,4-08C,President,,Democrat,Kamala D. Harris,748
Chatham,4-10C,President,,Democrat,Kamala D. Harris,450
Chatham,4-05C,President,,Democrat,Kamala D. Harris,657
Chatham,3-04C,President,,Democrat,Kamala D. Harris,828
Chatham,4-02C,President,,Green,Jill Stein,8
Chatham,7-14C,President,,Green,Jill Stein,13
Chatham,4-06C,President,,Green,Jill Stein,5
Chatham,4-05C,President,,Green,Jill Stein,2
Chatham,7-01C,President,,Green,Jill Stein,1
Chatham,7-03C,President,,Green,Jill Stein,1
Chatham,4-04C,President,,Green,Jill Stein,3
Chatham,3-14C,President,,Green,Jill Stein,3
Chatham,3-13C,President,,Green,Jill Stein,5
Chatham,3-12C,President,,Green,Jill Stein,2
Chatham,3-11C,President,,Green,Jill Stein,1
Chatham,7-04C,President,,Green,Jill Stein,6
Chatham,7-05C,President,,Green,Jill Stein,1
Chatham,3-10C,President,,Green,Jill Stein,5
Chatham,7-06C,President,,Green,Jill Stein,3
Chatham,7-07C,President,,Green,Jill Stein,8
Chatham,7-08C,President,,Green,Jill Stein,5
Chatham,7-09C,President,,Green,Jill Stein,1
Chatham,7-11C,President,,Green,Jill Stein,12
Chatham,6-05C,President,,Green,Jill Stein,6
Chatham,6-10C,President,,Green,Jill Stein,8
Chatham,6-09C,President,,Green,Jill Stein,14
Chatham,6-08C,President,,Green,Jill Stein,4
Chatham,6-06C,President,,Green,Jill Stein,2
Chatham,8-18C,President,,Green,Jill Stein,2
Chatham,6-03C,President,,Green,Jill Stein,3
Chatham,6-02C,President,,Green,Jill Stein,5
Chatham,6-01C,President,,Green,Jill Stein,7
Chatham,8-17C,President,,Green,Jill Stein,9
Chatham,5-10C,President,,Green,Jill Stein,3
Chatham,5-08C,President,,Green,Jill Stein,4
Chatham,4-07C,President,,Green,Jill Stein,2
Chatham,5-07C,President,,Green,Jill Stein,4
Chatham,5-06C,President,,Green,Jill Stein,1
Chatham,5-05C,President,,Green,Jill Stein,2
Chatham,5-03C,President,,Green,Jill Stein,2
Chatham,4-14C,President,,Green,Jill Stein,4
Chatham,5-11C,President,,Green,Jill Stein,4
Chatham,7-16C,President,,Green,Jill Stein,10
Chatham,7-17C,President,,Green,Jill Stein,3
Chatham,8-01C,President,,Green,Jill Stein,11
Chatham,7-10C,President,,Green,Jill Stein,13
Chatham,8-03C,President,,Green,Jill Stein,1
Chatham,7-15C,President,,Green,Jill Stein,7
Chatham,8-05C,President,,Green,Jill Stein,4
Chatham,8-06C,President,,Green,Jill Stein,4
Chatham,8-08C,President,,Green,Jill Stein,4
Chatham,3-09C,President,,Green,Jill Stein,5
Chatham,8-09C,President,,Green,Jill Stein,4
Chatham,8-10C,President,,Green,Jill Stein,0
Chatham,8-11C,President,,Green,Jill Stein,4
Chatham,3-05C,President,,Green,Jill Stein,11
Chatham,3-04C,President,,Green,Jill Stein,0
Chatham,3-03C,President,,Green,Jill Stein,1
Chatham,3-02C,President,,Green,Jill Stein,6
Chatham,2-12C,President,,Green,Jill Stein,10
Chatham,2-11C,President,,Green,Jill Stein,2
Chatham,2-09C,President,,Green,Jill Stein,12
Chatham,2-07C,President,,Green,Jill Stein,7
Chatham,2-06C,President,,Green,Jill Stein,5
Chatham,2-05C,President,,Green,Jill Stein,12
Chatham,8-12C,President,,Green,Jill Stein,4
Chatham,2-04C,President,,Green,Jill Stein,17
Chatham,2-03C,President,,Green,Jill Stein,2
Chatham,2-02C,President,,Green,Jill Stein,2
Chatham,1-17C,President,,Green,Jill Stein,3
Chatham,1-16C,President,,Green,Jill Stein,4
Chatham,1-14C,President,,Green,Jill Stein,1
Chatham,1-13C,President,,Green,Jill Stein,3
Chatham,1-12C,President,,Green,Jill Stein,2
Chatham,1-10C,President,,Green,Jill Stein,1
Chatham,1-09C,President,,Green,Jill Stein,0
Chatham,8-15C,President,,Green,Jill Stein,1
Chatham,1-08C,President,,Green,Jill Stein,7
Chatham,1-06C,President,,Green,Jill Stein,4
Chatham,1-05C,President,,Green,Jill Stein,6
Chatham,1-01C,President,,Green,Jill Stein,14
Chatham,8-16C,President,,Green,Jill Stein,7
Chatham,8-02C,President,,Green,Jill Stein,9
Chatham,4-12C,President,,Green,Jill Stein,2
Chatham,4-13C,President,,Green,Jill Stein,8
Chatham,4-08C,President,,Green,Jill Stein,9
Chatham,4-10C,President,,Green,Jill Stein,3
Chatham,4-11C,President,,Green,Jill Stein,3
Chatham,7-12C,President,,Green,Jill Stein,4
Chatham,7-13C,President,,Green,Jill Stein,5
Chatham,6-11C,President,,Green,Jill Stein,16
Chatham,8-16C,President,,Libertarian,Chase Oliver,12
Chatham,3-12C,President,,Libertarian,Chase Oliver,4
Chatham,8-15C,President,,Libertarian,Chase Oliver,0
Chatham,4-08C,President,,Libertarian,Chase Oliver,19
Chatham,7-08C,President,,Libertarian,Chase Oliver,9
Chatham,8-09C,President,,Libertarian,Chase Oliver,0
Chatham,2-05C,President,,Libertarian,Chase Oliver,8
Chatham,2-06C,President,,Libertarian,Chase Oliver,6
Chatham,2-07C,President,,Libertarian,Chase Oliver,8
Chatham,1-01C,President,,Libertarian,Chase Oliver,11
Chatham,2-11C,President,,Libertarian,Chase Oliver,3
Chatham,8-08C,President,,Libertarian,Chase Oliver,2
Chatham,8-06C,President,,Libertarian,Chase Oliver,2
Chatham,8-05C,President,,Libertarian,Chase Oliver,3
Chatham,2-12C,President,,Libertarian,Chase Oliver,8
Chatham,3-02C,President,,Libertarian,Chase Oliver,8
Chatham,3-03C,President,,Libertarian,Chase Oliver,2
Chatham,3-04C,President,,Libertarian,Chase Oliver,2
Chatham,8-03C,President,,Libertarian,Chase Oliver,6
Chatham,8-02C,President,,Libertarian,Chase Oliver,3
Chatham,8-01C,President,,Libertarian,Chase Oliver,2
Chatham,7-17C,President,,Libertarian,Chase Oliver,6
Chatham,7-16C,President,,Libertarian,Chase Oliver,19
Chatham,6-10C,President,,Libertarian,Chase Oliver,8
Chatham,7-04C,President,,Libertarian,Chase Oliver,8
Chatham,7-03C,President,,Libertarian,Chase Oliver,3
Chatham,7-01C,President,,Libertarian,Chase Oliver,3
Chatham,6-11C,President,,Libertarian,Chase Oliver,13
Chatham,6-09C,President,,Libertarian,Chase Oliver,7
Chatham,6-08C,President,,Libertarian,Chase Oliver,3
Chatham,6-06C,President,,Libertarian,Chase Oliver,3
Chatham,7-15C,President,,Libertarian,Chase Oliver,9
Chatham,7-14C,President,,Libertarian,Chase Oliver,17
Chatham,7-13C,President,,Libertarian,Chase Oliver,11
Chatham,3-05C,President,,Libertarian,Chase Oliver,6
Chatham,3-09C,President,,Libertarian,Chase Oliver,12
Chatham,2-09C,President,,Libertarian,Chase Oliver,12
Chatham,7-12C,President,,Libertarian,Chase Oliver,11
Chatham,7-11C,President,,Libertarian,Chase Oliver,5
Chatham,1-05C,President,,Libertarian,Chase Oliver,14
Chatham,7-10C,President,,Libertarian,Chase Oliver,14
Chatham,7-09C,President,,Libertarian,Chase Oliver,4
Chatham,3-10C,President,,Libertarian,Chase Oliver,6
Chatham,2-04C,President,,Libertarian,Chase Oliver,4
Chatham,1-08C,President,,Libertarian,Chase Oliver,7
Chatham,1-09C,President,,Libertarian,Chase Oliver,5
Chatham,7-07C,President,,Libertarian,Chase Oliver,17
Chatham,7-06C,President,,Libertarian,Chase Oliver,9
Chatham,7-05C,President,,Libertarian,Chase Oliver,2
Chatham,8-18C,President,,Libertarian,Chase Oliver,4
Chatham,8-11C,President,,Libertarian,Chase Oliver,1
Chatham,8-10C,President,,Libertarian,Chase Oliver,1
Chatham,1-10C,President,,Libertarian,Chase Oliver,6
Chatham,1-12C,President,,Libertarian,Chase Oliver,6
Chatham,1-13C,President,,Libertarian,Chase Oliver,4
Chatham,1-14C,President,,Libertarian,Chase Oliver,5
Chatham,1-16C,President,,Libertarian,Chase Oliver,11
Chatham,1-17C,President,,Libertarian,Chase Oliver,11
Chatham,2-02C,President,,Libertarian,Chase Oliver,4
Chatham,2-03C,President,,Libertarian,Chase Oliver,6
Chatham,1-06C,President,,Libertarian,Chase Oliver,12
Chatham,4-10C,President,,Libertarian,Chase Oliver,5
Chatham,4-11C,President,,Libertarian,Chase Oliver,4
Chatham,4-12C,President,,Libertarian,Chase Oliver,3
Chatham,4-13C,President,,Libertarian,Chase Oliver,5
Chatham,4-14C,President,,Libertarian,Chase Oliver,10
Chatham,5-03C,President,,Libertarian,Chase Oliver,1
Chatham,5-05C,President,,Libertarian,Chase Oliver,5
Chatham,5-06C,President,,Libertarian,Chase Oliver,4
Chatham,8-12C,President,,Libertarian,Chase Oliver,2
Chatham,8-17C,President,,Libertarian,Chase Oliver,0
Chatham,4-07C,President,,Libertarian,Chase Oliver,11
Chatham,4-06C,President,,Libertarian,Chase Oliver,7
Chatham,4-05C,President,,Libertarian,Chase Oliver,7
Chatham,4-04C,President,,Libertarian,Chase Oliver,10
Chatham,5-08C,President,,Libertarian,Chase Oliver,1
Chatham,4-02C,President,,Libertarian,Chase Oliver,7
Chatham,5-10C,President,,Libertarian,Chase Oliver,4
Chatham,5-11C,President,,Libertarian,Chase Oliver,8
Chatham,6-01C,President,,Libertarian,Chase Oliver,7
Chatham,6-02C,President,,Libertarian,Chase Oliver,5
Chatham,6-03C,President,,Libertarian,Chase Oliver,9
Chatham,3-14C,President,,Libertarian,Chase Oliver,4
Chatham,6-05C,President,,Libertarian,Chase Oliver,7
Chatham,5-07C,President,,Libertarian,Chase Oliver,2
Chatham,3-11C,President,,Libertarian,Chase Oliver,4
Chatham,3-13C,President,,Libertarian,Chase Oliver,12
Chatham,8-10C,President,,Republican,Donald J. Trump,43
Chatham,6-03C,President,,Republican,Donald J. Trump,823
Chatham,6-05C,President,,Republican,Donald J. Trump,449
Chatham,6-06C,President,,Republican,Donald J. Trump,432
Chatham,6-08C,President,,Republican,Donald J. Trump,324
Chatham,8-02C,President,,Republican,Donald J. Trump,210
Chatham,8-03C,President,,Republican,Donald J. Trump,623
Chatham,8-05C,President,,Republican,Donald J. Trump,50
Chatham,8-06C,President,,Republican,Donald J. Trump,36
Chatham,8-08C,President,,Republican,Donald J. Trump,70
Chatham,8-09C,President,,Republican,Donald J. Trump,29
Chatham,6-02C,President,,Republican,Donald J. Trump,978
Chatham,8-11C,President,,Republican,Donald J. Trump,35
Chatham,8-12C,President,,Republican,Donald J. Trump,208
Chatham,7-07C,President,,Republican,Donald J. Trump,1668
Chatham,5-03C,President,,Republican,Donald J. Trump,103
Chatham,7-09C,President,,Republican,Donald J. Trump,803
Chatham,7-10C,President,,Republican,Donald J. Trump,982
Chatham,7-11C,President,,Republican,Donald J. Trump,649
Chatham,1-08C,President,,Republican,Donald J. Trump,615
Chatham,1-09C,President,,Republican,Donald J. Trump,358
Chatham,1-10C,President,,Republican,Donald J. Trump,666
Chatham,2-05C,President,,Republican,Donald J. Trump,176
Chatham,5-06C,President,,Republican,Donald J. Trump,310
Chatham,3-05C,President,,Republican,Donald J. Trump,315
Chatham,3-04C,President,,Republican,Donald J. Trump,83
Chatham,3-03C,President,,Republican,Donald J. Trump,71
Chatham,3-02C,President,,Republican,Donald J. Trump,368
Chatham,2-12C,President,,Republican,Donald J. Trump,157
Chatham,2-11C,President,,Republican,Donald J. Trump,172
Chatham,6-01C,President,,Republican,Donald J. Trump,438
Chatham,2-07C,President,,Republican,Donald J. Trump,273
Chatham,2-06C,President,,Republican,Donald J. Trump,432
Chatham,1-12C,President,,Republican,Donald J. Trump,1114
Chatham,2-04C,President,,Republican,Donald J. Trump,153
Chatham,2-03C,President,,Republican,Donald J. Trump,159
Chatham,2-02C,President,,Republican,Donald J. Trump,184
Chatham,1-17C,President,,Republican,Donald J. Trump,1729
Chatham,1-16C,President,,Republican,Donald J. Trump,1610
Chatham,1-14C,President,,Republican,Donald J. Trump,826
Chatham,1-13C,President,,Republican,Donald J. Trump,602
Chatham,3-10C,President,,Republican,Donald J. Trump,217
Chatham,3-11C,President,,Republican,Donald J. Trump,183
Chatham,7-04C,President,,Republican,Donald J. Trump,509
Chatham,5-11C,President,,Republican,Donald J. Trump,370
Chatham,7-08C,President,,Republican,Donald J. Trump,1606
Chatham,4-05C,President,,Republican,Donald J. Trump,1193
Chatham,4-06C,President,,Republican,Donald J. Trump,1296
Chatham,4-07C,President,,Republican,Donald J. Trump,1608
Chatham,4-08C,President,,Republican,Donald J. Trump,1506
Chatham,4-10C,President,,Republican,Donald J. Trump,643
Chatham,4-11C,President,,Republican,Donald J. Trump,752
Chatham,7-06C,President,,Republican,Donald J. Trump,1029
Chatham,7-16C,President,,Republican,Donald J. Trump,966
