office,candidate,party,county,votes,district
Public Service Commission,Powell,D,Brantley,548,District 4 - Northern
Public Service Commission,Totals,Total,Brantley,2418,District 4 - Northern
Public Service Commission,McDonald,R,Brooks,1620,District 4 - Northern
Public Service Commission,Powell,D,Brooks,1245,District 4 - Northern
Public Service Commission,Totals,Total,Brooks,2865,District 4 - Northern
Public Service Commission,McDonald,R,Bryan,4278,District 4 - Northern
Public Service Commission,Powell,D,Bryan,1562,District 4 - Northern
Public Service Commission,Totals,Total,Bryan,5840,District 4 - Northern
Public Service Commission,McDonald,R,Bulloch,7038,District 4 - Northern
Public Service Commission,Powell,D,Bulloch,3631,District 4 - Northern
Public Service Commission,Totals,Total,Bulloch,10669,District 4 - Northern
Public Service Commission,McDonald,R,Burke,2245,District 4 - Northern
Public Service Commission,Powell,D,Burke,2418,District 4 - Northern
Public Service Commission,Totals,Total,Burke,4663,District 4 - Northern
Public Service Commission,McDonald,R,Butts,3196,District 4 - Northern
Public Service Commission,Powell,D,Butts,1561,District 4 - Northern
Public Service Commission,Totals,Total,Butts,4757,District 4 - Northern
Public Service Commission,McDonald,R,Calhoun,451,District 4 - Northern
Public Service Commission,Powell,D,Calhoun,696,District 4 - Northern
Public Service Commission,Totals,Total,Calhoun,1147,District 4 - Northern
Public Service Commission,McDonald,R,Camden,4630,District 4 - Northern
Public Service Commission,Powell,D,Camden,1992,District 4 - Northern
Public Service Commission,Totals,Total,Camden,6622,District 4 - Northern
Public Service Commission,McDonald,R,Candler,1006,District 4 - Northern
Public Service Commission,Powell,D,Candler,603,District 4 - Northern
Public Service Commission,Totals,Total,Candler,1609,District 4 - Northern
Public Service Commission,McDonald,R,Carroll,15223,District 4 - Northern
Public Service Commission,Powell,D,Carroll,6715,District 4 - Northern
Public Service Commission,Totals,Total,Carroll,21938,District 4 - Northern
Public Service Commission,McDonald,R,Catoosa,8016,District 4 - Northern
Public Service Commission,Powell,D,Catoosa,2941,District 4 - Northern
Public Service Commission,Totals,Total,Catoosa,10957,District 4 - Northern
Public Service Commission,McDonald,R,Charlton,935,District 4 - Northern
Public Service Commission,Powell,D,Charlton,454,District 4 - Northern
Public Service Commission,Totals,Total,Charlton,1389,District 4 - Northern
Public Service Commission,McDonald,R,Chatham,25705,District 4 - Northern
Public Service Commission,Powell,D,Chatham,29331,District 4 - Northern
Public Service Commission,Totals,Total,Chatham,55036,District 4 - Northern
Public Service Commission,McDonald,R,Chattahoochee,340,District 4 - Northern
Public Service Commission,Powell,D,Chattahoochee,284,District 4 - Northern
Public Service Commission,Totals,Total,Chattahoochee,624,District 4 - Northern
Public Service Commission,McDonald,R,Chattooga,2075,District 4 - Northern
Public Service Commission,Powell,D,Chattooga,1429,District 4 - Northern
Public Service Commission,Totals,Total,Chattooga,3504,District 4 - Northern
Public Service Commission,McDonald,R,Cherokee,40372,District 4 - Northern
Public Service Commission,Powell,D,Cherokee,9745,District 4 - Northern
Public Service Commission,Totals,Total,Cherokee,50117,District 4 - Northern
Public Service Commission,McDonald,R,Clarke,8667,District 4 - Northern
Public Service Commission,Powell,D,Clarke,14149,District 4 - Northern
Public Service Commission,Totals,Total,Clarke,22816,District 4 - Northern
Public Service Commission,McDonald,R,Clay,280,District 4 - Northern
Public Service Commission,Powell,D,Clay,389,District 4 - Northern
Public Service Commission,Totals,Total,Clay,669,District 4 - Northern
Public Service Commission,McDonald,R,Clayton,9494,District 4 - Northern
Public Service Commission,Powell,D,Clayton,39138,District 4 - Northern
Public Service Commission,Totals,Total,Clayton,48632,District 4 - Northern
Public Service Commission,McDonald,R,Clinch,550,District 4 - Northern
Public Service Commission,Powell,D,Clinch,414,District 4 - Northern
Public Service Commission,Totals,Total,Clinch,964,District 4 - Northern
Public Service Commission,McDonald,R,Cobb,110672,District 4 - Northern
Public Service Commission,Powell,D,Cobb,66004,District 4 - Northern
Public Service Commission,Totals,Total,Cobb,176676,District 4 - Northern
Public Service Commission,McDonald,R,Coffee,3769,District 4 - Northern
Public Service Commission,Powell,D,Coffee,2228,District 4 - Northern
Public Service Commission,Totals,Total,Coffee,5997,District 4 - Northern
Public Service Commission,McDonald,R,Colquitt,4918,District 4 - Northern
Public Service Commission,Powell,D,Colquitt,2224,District 4 - Northern
Public Service Commission,Totals,Total,Colquitt,7142,District 4 - Northern
Public Service Commission,McDonald,R,Columbia,21956,District 4 - Northern
Public Service Commission,Powell,D,Columbia,6864,District 4 - Northern
Public Service Commission,Totals,Total,Columbia,28820,District 4 - Northern
Public Service Commission,McDonald,R,Cook,1977,District 4 - Northern
Public Service Commission,Powell,D,Cook,1493,District 4 - Northern
Public Service Commission,Totals,Total,Cook,3470,District 4 - Northern
Public Service Commission,McDonald,R,Coweta,21379,District 4 - Northern
Public Service Commission,Powell,D,Coweta,7261,District 4 - Northern
Public Service Commission,Totals,Total,Coweta,28640,District 4 - Northern
Public Service Commission,McDonald,R,Crawford,1652,District 4 - Northern
Public Service Commission,Powell,D,Crawford,1017,District 4 - Northern
Public Service Commission,Totals,Total,Crawford,2669,District 4 - Northern
Public Service Commission,McDonald,R,Crisp,2166,District 4 - Northern
Public Service Commission,Powell,D,Crisp,1201,District 4 - Northern
Public Service Commission,Totals,Total,Crisp,3367,District 4 - Northern
Public Service Commission,McDonald,R,Dade,2215,District 4 - Northern
Public Service Commission,Powell,D,Dade,1007,District 4 - Northern
Public Service Commission,Totals,Total,Dade,3222,District 4 - Northern
Public Service Commission,McDonald,R,Dawson,4683,District 4 - Northern
Public Service Commission,Powell,D,Dawson,927,District 4 - Northern
Public Service Commission,Totals,Total,Dawson,5610,District 4 - Northern
Public Service Commission,McDonald,R,Decatur,2432,District 4 - Northern
Public Service Commission,Powell,D,Decatur,1772,District 4 - Northern
Public Service Commission,Totals,Total,Decatur,4204,District 4 - Northern
Public Service Commission,McDonald,R,Dekalb,43050,District 4 - Northern
Public Service Commission,Powell,D,Dekalb,131947,District 4 - Northern
Public Service Commission,Totals,Total,Dekalb,174997,District 4 - Northern
Public Service Commission,McDonald,R,Dodge,3007,District 4 - Northern
Public Service Commission,Powell,D,Dodge,2548,District 4 - Northern
Public Service Commission,Totals,Total,Dodge,5555,District 4 - Northern
Public Service Commission,McDonald,R,Dooly,1067,District 4 - Northern
Public Service Commission,Powell,D,Dooly,1008,District 4 - Northern
Public Service Commission,Totals,Total,Dooly,2075,District 4 - Northern
Public Service Commission,McDonald,R,Dougherty,7104,District 4 - Northern
Public Service Commission,Powell,D,Dougherty,12952,District 4 - Northern
Public Service Commission,Totals,Total,Dougherty,20056,District 4 - Northern
Public Service Commission,McDonald,R,Douglas,15481,District 4 - Northern
Public Service Commission,Powell,D,Douglas,12526,District 4 - Northern
Public Service Commission,Totals,Total,Douglas,28007,District 4 - Northern
Public Service Commission,McDonald,R,Early,1404,District 4 - Northern
Public Service Commission,Powell,D,Early,1607,District 4 - Northern
Public Service Commission,Totals,Total,Early,3011,District 4 - Northern
Public Service Commission,McDonald,R,Echols,307,District 4 - Northern
Public Service Commission,Powell,D,Echols,133,District 4 - Northern
Public Service Commission,Totals,Total,Echols,440,District 4 - Northern
Public Service Commission,McDonald,R,Effingham,7482,District 4 - Northern
Public Service Commission,Powell,D,Effingham,2509,District 4 - Northern
Public Service Commission,Totals,Total,Effingham,9991,District 4 - Northern
Public Service Commission,McDonald,R,Elbert,2107,District 4 - Northern
Public Service Commission,Powell,D,Elbert,1353,District 4 - Northern
Public Service Commission,Totals,Total,Elbert,3460,District 4 - Northern
Public Service Commission,McDonald,R,Emanuel,2119,District 4 - Northern
Public Service Commission,Powell,D,Emanuel,1300,District 4 - Northern
Public Service Commission,Totals,Total,Emanuel,3419,District 4 - Northern
Public Service Commission,McDonald,R,Evans,1138,District 4 - Northern
Public Service Commission,Powell,D,Evans,717,District 4 - Northern
Public Service Commission,Totals,Total,Evans,1855,District 4 - Northern
Public Service Commission,McDonald,R,Fannin,3831,District 4 - Northern
Public Service Commission,Powell,D,Fannin,1435,District 4 - Northern
Public Service Commission,Totals,Total,Fannin,5266,District 4 - Northern
Public Service Commission,McDonald,R,Fayette,24407,District 4 - Northern
Public Service Commission,Powell,D,Fayette,11352,District 4 - Northern
Public Service Commission,Totals,Total,Fayette,35759,District 4 - Northern
Public Service Commission,McDonald,R,Floyd,10689,District 4 - Northern
Public Service Commission,Powell,D,Floyd,5451,District 4 - Northern
Public Service Commission,Totals,Total,Floyd,16140,District 4 - Northern
Public Service Commission,McDonald,R,Forsyth,35297,District 4 - Northern
Public Service Commission,Powell,D,Forsyth,6966,District 4 - Northern
Public Service Commission,Totals,Total,Forsyth,42263,District 4 - Northern
Public Service Commission,McDonald,R,Franklin,2695,District 4 - Northern
Public Service Commission,Powell,D,Franklin,934,District 4 - Northern
Public Service Commission,Totals,Total,Franklin,3629,District 4 - Northern
Public Service Commission,McDonald,R,Fulton,81943,District 4 - Northern
Public Service Commission,Powell,D,Fulton,125953,District 4 - Northern
Public Service Commission,Totals,Total,Fulton,207896,District 4 - Northern
Public Service Commission,McDonald,R,Gilmer,4646,District 4 - Northern
Public Service Commission,Powell,D,Gilmer,1510,District 4 - Northern
Public Service Commission,Totals,Total,Gilmer,6156,District 4 - Northern
Public Service Commission,McDonald,R,Glascock,547,District 4 - Northern
Public Service Commission,Powell,D,Glascock,187,District 4 - Northern
Public Service Commission,Totals,Total,Glascock,734,District 4 - Northern
Public Service Commission,McDonald,R,Glynn,10796,District 4 - Northern
Public Service Commission,Powell,D,Glynn,4945,District 4 - Northern
Public Service Commission,Totals,Total,Glynn,15741,District 4 - Northern
Public Service Commission,McDonald,R,Gordon,6528,District 4 - Northern
Public Service Commission,Powell,D,Gordon,2353,District 4 - Northern
Public Service Commission,Totals,Total,Gordon,8881,District 4 - Northern
Public Service Commission,McDonald,R,Grady,2566,District 4 - Northern
Public Service Commission,Powell,D,Grady,1394,District 4 - Northern
Public Service Commission,Totals,Total,Grady,3960,District 4 - Northern
Public Service Commission,McDonald,R,Greene,3141,District 4 - Northern
Public Service Commission,Powell,D,Greene,1808,District 4 - Northern
Public Service Commission,Totals,Total,Greene,4949,District 4 - Northern
Public Service Commission,McDonald,R,Gwinnett,100591,District 4 - Northern
Public Service Commission,Powell,D,Gwinnett,58241,District 4 - Northern
Public Service Commission,Totals,Total,Gwinnett,158832,District 4 - Northern
Public Service Commission,McDonald,R,Habersham,6487,District 4 - Northern
Public Service Commission,Powell,D,Habersham,1711,District 4 - Northern
Public Service Commission,Totals,Total,Habersham,8198,District 4 - Northern
Public Service Commission,McDonald,R,Hall,25900,District 4 - Northern
Public Service Commission,Powell,D,Hall,6702,District 4 - Northern
Public Service Commission,Totals,Total,Hall,32602,District 4 - Northern
Public Service Commission,McDonald,R,Hancock,395,District 4 - Northern
Public Service Commission,Powell,D,Hancock,1481,District 4 - Northern
Public Service Commission,Totals,Total,Hancock,1876,District 4 - Northern
Public Service Commission,McDonald,R,Haralson,4173,District 4 - Northern
Public Service Commission,Powell,D,Haralson,1313,District 4 - Northern
Public Service Commission,Totals,Total,Haralson,5486,District 4 - Northern
Public Service Commission,McDonald,R,Harris,5494,District 4 - Northern
Public Service Commission,Powell,D,Harris,2061,District 4 - Northern
Public Service Commission,Totals,Total,Harris,7555,District 4 - Northern
Public Service Commission,McDonald,R,Hart,2743,District 4 - Northern
Public Service Commission,Powell,D,Hart,1352,District 4 - Northern
Public Service Commission,Totals,Total,Hart,4095,District 4 - Northern
Public Service Commission,McDonald,R,Heard,1385,District 4 - Northern
Public Service Commission,Powell,D,Heard,618,District 4 - Northern
Public Service Commission,Totals,Total,Heard,2003,District 4 - Northern
Public Service Commission,McDonald,R,Henry,25881,District 4 - Northern
Public Service Commission,Powell,D,Henry,19064,District 4 - Northern
Public Service Commission,Totals,Total,Henry,44945,District 4 - Northern
Public Service Commission,McDonald,R,Houston,17512,District 4 - Northern
Public Service Commission,Powell,D,Houston,9532,District 4 - Northern
Public Service Commission,Totals,Total,Houston,27044,District 4 - Northern
Public Service Commission,McDonald,R,Irwin,1295,District 4 - Northern
Public Service Commission,Powell,D,Irwin,758,District 4 - Northern
Public Service Commission,Totals,Total,Irwin,2053,District 4 - Northern
Public Service Commission,McDonald,R,Jackson,10152,District 4 - Northern
Public Service Commission,Powell,D,Jackson,2309,District 4 - Northern
Public Service Commission,Totals,Total,Jackson,12461,District 4 - Northern
Public Service Commission,McDonald,R,Jasper,2219,District 4 - Northern
Public Service Commission,Powell,D,Jasper,1134,District 4 - Northern
Public Service Commission,Totals,Total,Jasper,3353,District 4 - Northern
Public Service Commission,McDonald,R,Jeff davis,2269,District 4 - Northern
Public Service Commission,Powell,D,Jeff davis,1445,District 4 - Northern
Public Service Commission,Totals,Total,Jeff davis,3714,District 4 - Northern
Public Service Commission,McDonald,R,Jefferson,1528,District 4 - Northern
Public Service Commission,Powell,D,Jefferson,1893,District 4 - Northern
Public Service Commission,Totals,Total,Jefferson,3421,District 4 - Northern
Public Service Commission,McDonald,R,Jenkins,815,District 4 - Northern
Public Service Commission,Powell,D,Jenkins,728,District 4 - Northern
Public Service Commission,Totals,Total,Jenkins,1543,District 4 - Northern
Public Service Commission,McDonald,R,Johnson,1176,District 4 - Northern
Public Service Commission,Powell,D,Johnson,569,District 4 - Northern
Public Service Commission,Totals,Total,Johnson,1745,District 4 - Northern
Public Service Commission,McDonald,R,Jones,3881,District 4 - Northern
Public Service Commission,Powell,D,Jones,2509,District 4 - Northern
Public Service Commission,Totals,Total,Jones,6390,District 4 - Northern
Public Service Commission,McDonald,R,Lamar,2689,District 4 - Northern
Public Service Commission,Powell,D,Lamar,1371,District 4 - Northern
Public Service Commission,Totals,Total,Lamar,4060,District 4 - Northern
Public Service Commission,McDonald,R,Lanier,613,District 4 - Northern
Public Service Commission,Powell,D,Lanier,427,District 4 - Northern
Public Service Commission,Totals,Total,Lanier,1040,District 4 - Northern
Public Service Commission,McDonald,R,Laurens,5799,District 4 - Northern
Public Service Commission,Powell,D,Laurens,3929,District 4 - Northern
Public Service Commission,Totals,Total,Laurens,9728,District 4 - Northern
Public Service Commission,McDonald,R,Lee,5160,District 4 - Northern
Public Service Commission,Powell,D,Lee,1707,District 4 - Northern
Public Service Commission,Totals,Total,Lee,6867,District 4 - Northern
Public Service Commission,McDonald,R,Liberty,2384,District 4 - Northern
Public Service Commission,Powell,D,Liberty,3930,District 4 - Northern
Public Service Commission,Totals,Total,Liberty,6314,District 4 - Northern
Public Service Commission,McDonald,R,Lincoln,1305,District 4 - Northern
Public Service Commission,Powell,D,Lincoln,667,District 4 - Northern
Public Service Commission,Totals,Total,Lincoln,1972,District 4 - Northern
Public Service Commission,McDonald,R,Long,690,District 4 - Northern
Public Service Commission,Powell,D,Long,517,District 4 - Northern
Public Service Commission,Totals,Total,Long,1207,District 4 - Northern
Public Service Commission,McDonald,R,Lowndes,9584,District 4 - Northern
Public Service Commission,Powell,D,Lowndes,7259,District 4 - Northern
Public Service Commission,Totals,Total,Lowndes,16843,District 4 - Northern
Public Service Commission,McDonald,R,Lumpkin,4518,District 4 - Northern
Public Service Commission,Powell,D,Lumpkin,1518,District 4 - Northern
Public Service Commission,Totals,Total,Lumpkin,6036,District 4 - Northern
Public Service Commission,McDonald,R,Macon,881,District 4 - Northern
Public Service Commission,Powell,D,Macon,1468,District 4 - Northern
Public Service Commission,Totals,Total,Macon,2349,District 4 - Northern
Public Service Commission,McDonald,R,Madison,4456,District 4 - Northern
Public Service Commission,Powell,D,Madison,1658,District 4 - Northern
Public Service Commission,Totals,Total,Madison,6114,District 4 - Northern
Public Service Commission,McDonald,R,Marion,717,District 4 - Northern
Public Service Commission,Powell,D,Marion,643,District 4 - Northern
Public Service Commission,Totals,Total,Marion,1360,District 4 - Northern
Public Service Commission,McDonald,R,Mcduffie,2992,District 4 - Northern
Public Service Commission,Powell,D,Mcduffie,1784,District 4 - Northern
Public Service Commission,Totals,Total,Mcduffie,4776,District 4 - Northern
Public Service Commission,McDonald,R,Mcintosh,1499,District 4 - Northern
Public Service Commission,Powell,D,Mcintosh,1311,District 4 - Northern
Public Service Commission,Totals,Total,Mcintosh,2810,District 4 - Northern
Public Service Commission,McDonald,R,Meriwether,2698,District 4 - Northern
Public Service Commission,Powell,D,Meriwether,2231,District 4 - Northern
Public Service Commission,Totals,Total,Meriwether,4929,District 4 - Northern
Public Service Commission,McDonald,R,Miller,772,District 4 - Northern
Public Service Commission,Powell,D,Miller,315,District 4 - Northern
Public Service Commission,Totals,Total,Miller,1087,District 4 - Northern
Public Service Commission,McDonald,R,Mitchell,2136,District 4 - Northern
Public Service Commission,Powell,D,Mitchell,2172,District 4 - Northern
Public Service Commission,Totals,Total,Mitchell,4308,District 4 - Northern
Public Service Commission,McDonald,R,Monroe,4474,District 4 - Northern
Public Service Commission,Powell,D,Monroe,2135,District 4 - Northern
Public Service Commission,Totals,Total,Monroe,6609,District 4 - Northern
Public Service Commission,McDonald,R,Montgomery,1170,District 4 - Northern
Public Service Commission,Powell,D,Montgomery,569,District 4 - Northern
Public Service Commission,Totals,Total,Montgomery,1739,District 4 - Northern
Public Service Commission,McDonald,R,Morgan,3541,District 4 - Northern
Public Service Commission,Powell,D,Morgan,1600,District 4 - Northern
Public Service Commission,Totals,Total,Morgan,5141,District 4 - Northern
Public Service Commission,McDonald,R,Murray,2806,District 4 - Northern
Public Service Commission,Powell,D,Murray,1282,District 4 - Northern
Public Service Commission,Totals,Total,Murray,4088,District 4 - Northern
Public Service Commission,McDonald,R,Muscogee,14651,District 4 - Northern
Public Service Commission,Powell,D,Muscogee,18419,District 4 - Northern
Public Service Commission,Totals,Total,Muscogee,33070,District 4 - Northern
Public Service Commission,McDonald,R,Newton,11506,District 4 - Northern
Public Service Commission,Powell,D,Newton,9840,District 4 - Northern
Public Service Commission,Totals,Total,Newton,21346,District 4 - Northern
Public Service Commission,McDonald,R,Oconee,7628,District 4 - Northern
Public Service Commission,Powell,D,Oconee,2674,District 4 - Northern
Public Service Commission,Totals,Total,Oconee,10302,District 4 - Northern
Public Service Commission,McDonald,R,Oglethorpe,2348,District 4 - Northern
Public Service Commission,Powell,D,Oglethorpe,1217,District 4 - Northern
Public Service Commission,Totals,Total,Oglethorpe,3565,District 4 - Northern
Public Service Commission,McDonald,R,Paulding,18764,District 4 - Northern
Public Service Commission,Powell,D,Paulding,6931,District 4 - Northern
Public Service Commission,Totals,Total,Paulding,25695,District 4 - Northern
Public Service Commission,McDonald,R,Peach,2495,District 4 - Northern
Public Service Commission,Powell,D,Peach,2368,District 4 - Northern
Public Service Commission,Totals,Total,Peach,4863,District 4 - Northern
Public Service Commission,McDonald,R,Pickens,5379,District 4 - Northern
Public Service Commission,Powell,D,Pickens,1512,District 4 - Northern
Public Service Commission,Totals,Total,Pickens,6891,District 4 - Northern
Public Service Commission,McDonald,R,Pierce,2674,District 4 - Northern
Public Service Commission,Powell,D,Pierce,572,District 4 - Northern
Public Service Commission,Totals,Total,Pierce,3246,District 4 - Northern
Public Service Commission,McDonald,R,Pike,3669,District 4 - Northern
Public Service Commission,Powell,D,Pike,929,District 4 - Northern
Public Service Commission,Totals,Total,Pike,4598,District 4 - Northern
Public Service Commission,McDonald,R,Polk,4236,District 4 - Northern
Public Service Commission,Powell,D,Polk,2263,District 4 - Northern
Public Service Commission,Totals,Total,Polk,6499,District 4 - Northern
Public Service Commission,McDonald,R,Pulaski,1316,District 4 - Northern
Public Service Commission,Powell,D,Pulaski,869,District 4 - Northern
Public Service Commission,Totals,Total,Pulaski,2185,District 4 - Northern
Public Service Commission,McDonald,R,Putnam,3579,District 4 - Northern
Public Service Commission,Powell,D,Putnam,1499,District 4 - Northern
Public Service Commission,Totals,Total,Putnam,5078,District 4 - Northern
Public Service Commission,McDonald,R,Quitman,210,District 4 - Northern
Public Service Commission,Powell,D,Quitman,214,District 4 - Northern
Public Service Commission,Totals,Total,Quitman,424,District 4 - Northern
Public Service Commission,McDonald,R,Rabun,2773,District 4 - Northern
Public Service Commission,Powell,D,Rabun,1174,District 4 - Northern
Public Service Commission,Totals,Total,Rabun,3947,District 4 - Northern
Public Service Commission,McDonald,R,Randolph,762,District 4 - Northern
Public Service Commission,Powell,D,Randolph,844,District 4 - Northern
Public Service Commission,Totals,Total,Randolph,1606,District 4 - Northern
Public Service Commission,McDonald,R,Richmond,14856,District 4 - Northern
Public Service Commission,Powell,D,Richmond,22197,District 4 - Northern
Public Service Commission,Totals,Total,Richmond,37053,District 4 - Northern
Public Service Commission,McDonald,R,Rockdale,10415,District 4 - Northern
Public Service Commission,Powell,D,Rockdale,10201,District 4 - Northern
Public Service Commission,Totals,Total,Rockdale,20616,District 4 - Northern
Public Service Commission,McDonald,R,Schley,584,District 4 - Northern
Public Service Commission,Powell,D,Schley,236,District 4 - Northern
Public Service Commission,Totals,Total,Schley,820,District 4 - Northern
Public Service Commission,McDonald,R,Screven,1510,District 4 - Northern
Public Service Commission,Powell,D,Screven,1468,District 4 - Northern
Public Service Commission,Totals,Total,Screven,2978,District 4 - Northern
Public Service Commission,McDonald,R,Seminole,950,District 4 - Northern
Public Service Commission,Powell,D,Seminole,697,District 4 - Northern
Public Service Commission,Totals,Total,Seminole,1647,District 4 - Northern
Public Service Commission,McDonald,R,Spalding,8152,District 4 - Northern
Public Service Commission,Powell,D,Spalding,4543,District 4 - Northern
Public Service Commission,Totals,Total,Spalding,12695,District 4 - Northern
Public Service Commission,McDonald,R,Stephens,3269,District 4 - Northern
Public Service Commission,Powell,D,Stephens,1160,District 4 - Northern
Public Service Commission,Totals,Total,Stephens,4429,District 4 - Northern
Public Service Commission,McDonald,R,Stewart,346,District 4 - Northern
Public Service Commission,Powell,D,Stewart,498,District 4 - Northern
Public Service Commission,Totals,Total,Stewart,844,District 4 - Northern
Public Service Commission,McDonald,R,Sumter,2956,District 4 - Northern
Public Service Commission,Powell,D,Sumter,2876,District 4 - Northern
Public Service Commission,Totals,Total,Sumter,5832,District 4 - Northern
Public Service Commission,McDonald,R,Talbot,614,District 4 - Northern
Public Service Commission,Powell,D,Talbot,1017,District 4 - Northern
Public Service Commission,Totals,Total,Talbot,1631,District 4 - Northern
Public Service Commission,McDonald,R,Taliaferro,167,District 4 - Northern
Public Service Commission,Powell,D,Taliaferro,291,District 4 - Northern
Public Service Commission,Totals,Total,Taliaferro,458,District 4 - Northern
Public Service Commission,McDonald,R,Tattnall,2272,District 4 - Northern
Public Service Commission,Powell,D,Tattnall,1163,District 4 - Northern
Public Service Commission,Totals,Total,Tattnall,3435,District 4 - Northern
Public Service Commission,McDonald,R,Taylor,1019,District 4 - Northern
Public Service Commission,Powell,D,Taylor,795,District 4 - Northern
Public Service Commission,Totals,Total,Taylor,1814,District 4 - Northern
Public Service Commission,McDonald,R,Telfair,1024,District 4 - Northern
Public Service Commission,Powell,D,Telfair,1228,District 4 - Northern
Public Service Commission,Totals,Total,Telfair,2252,District 4 - Northern
Public Service Commission,McDonald,R,Terrell,1084,District 4 - Northern
Public Service Commission,Powell,D,Terrell,1251,District 4 - Northern
Public Service Commission,Totals,Total,Terrell,2335,District 4 - Northern
Public Service Commission,McDonald,R,Thomas,5150,District 4 - Northern
Public Service Commission,Powell,D,Thomas,2998,District 4 - Northern
Public Service Commission,Totals,Total,Thomas,8148,District 4 - Northern
Public Service Commission,McDonald,R,Tift,5097,District 4 - Northern
Public Service Commission,Powell,D,Tift,2381,District 4 - Northern
Public Service Commission,Totals,Total,Tift,7478,District 4 - Northern
Public Service Commission,McDonald,R,Toombs,3272,District 4 - Northern
Public Service Commission,Powell,D,Toombs,1318,District 4 - Northern
Public Service Commission,Totals,Total,Toombs,4590,District 4 - Northern
Public Service Commission,McDonald,R,Towns,2297,District 4 - Northern
Public Service Commission,Powell,D,Towns,957,District 4 - Northern
Public Service Commission,Totals,Total,Towns,3254,District 4 - Northern
Public Service Commission,McDonald,R,Treutlen,695,District 4 - Northern
Public Service Commission,Powell,D,Treutlen,481,District 4 - Northern
Public Service Commission,Totals,Total,Treutlen,1176,District 4 - Northern
Public Service Commission,McDonald,R,Troup,7791,District 4 - Northern
Public Service Commission,Powell,D,Troup,4264,District 4 - Northern
Public Service Commission,Totals,Total,Troup,12055,District 4 - Northern
Public Service Commission,McDonald,R,Turner,954,District 4 - Northern
Public Service Commission,Powell,D,Turner,731,District 4 - Northern
Public Service Commission,Totals,Total,Turner,1685,District 4 - Northern
Public Service Commission,McDonald,R,Twiggs,912,District 4 - Northern
Public Service Commission,Powell,D,Twiggs,1305,District 4 - Northern
Public Service Commission,Totals,Total,Twiggs,2217,District 4 - Northern
Public Service Commission,McDonald,R,Union,4122,District 4 - Northern
Public Service Commission,Powell,D,Union,1623,District 4 - Northern
Public Service Commission,Totals,Total,Union,5745,District 4 - Northern
Public Service Commission,McDonald,R,Upson,3636,District 4 - Northern
Public Service Commission,Powell,D,Upson,1921,District 4 - Northern
Public Service Commission,Totals,Total,Upson,5557,District 4 - Northern
Public Service Commission,McDonald,R,Walker,6977,District 4 - Northern
Public Service Commission,Powell,D,Walker,3266,District 4 - Northern
Public Service Commission,Totals,Total,Walker,10243,District 4 - Northern
Public Service Commission,McDonald,R,Walton,16009,District 4 - Northern
Public Service Commission,Powell,D,Walton,4139,District 4 - Northern
Public Service Commission,Totals,Total,Walton,20148,District 4 - Northern
Public Service Commission,McDonald,R,Ware,4082,District 4 - Northern
Public Service Commission,Powell,D,Ware,1903,District 4 - Northern
Public Service Commission,Totals,Total,Ware,5985,District 4 - Northern
Public Service Commission,McDonald,R,Warren,601,District 4 - Northern
Public Service Commission,Powell,D,Warren,600,District 4 - Northern
Public Service Commission,Totals,Total,Warren,1201,District 4 - Northern
Public Service Commission,McDonald,R,Washington,1944,District 4 - Northern
Public Service Commission,Powell,D,Washington,2240,District 4 - Northern
Public Service Commission,Totals,Total,Washington,4184,District 4 - Northern
Public Service Commission,McDonald,R,Wayne,3491,District 4 - Northern
Public Service Commission,Powell,D,Wayne,1733,District 4 - Northern
Public Service Commission,Totals,Total,Wayne,5224,District 4 - Northern
Public Service Commission,McDonald,R,Webster,283,District 4 - Northern
Public Service Commission,Powell,D,Webster,244,District 4 - Northern
Public Service Commission,Totals,Total,Webster,527,District 4 - Northern
Public Service Commission,McDonald,R,Wheeler,678,District 4 - Northern
Public Service Commission,Powell,D,Wheeler,542,District 4 - Northern
Public Service Commission,Totals,Total,Wheeler,1220,District 4 - Northern
Public Service Commission,McDonald,R,White,4703,District 4 - Northern
Public Service Commission,Powell,D,White,1313,District 4 - Northern
Public Service Commission,Totals,Total,White,6016,District 4 - Northern
Public Service Commission,McDonald,R,Whitfield,8900,District 4 - Northern
Public Service Commission,Powell,D,Whitfield,3358,District 4 - Northern
Public Service Commission,Totals,Total,Whitfield,12258,District 4 - Northern
Public Service Commission,McDonald,R,Wilcox,1026,District 4 - Northern
Public Service Commission,Powell,D,Wilcox,600,District 4 - Northern
Public Service Commission,Totals,Total,Wilcox,1626,District 4 - Northern
Public Service Commission,McDonald,R,Wilkes,1569,District 4 - Northern
Public Service Commission,Powell,D,Wilkes,1334,District 4 - Northern
Public Service Commission,Totals,Total,Wilkes,2903,District 4 - Northern
Public Service Commission,McDonald,R,Wilkinson,1138,District 4 - Northern
Public Service Commission,Powell,D,Wilkinson,1150,District 4 - Northern
Public Service Commission,Totals,Total,Wilkinson,2288,District 4 - Northern
Public Service Commission,McDonald,R,Worth,3011,District 4 - Northern
Public Service Commission,Powell,D,Worth,1527,District 4 - Northern
Public Service Commission,Totals,Total,Worth,4538,District 4 - Northern
Appeals Court Judge,Doyle,NP,Appling,1381,Ruffin
Appeals Court Judge,Sheffield,NP,Appling,1573,Ruffin
Appeals Court Judge,Totals,Total,Appling,2954,Ruffin
Appeals Court Judge,Doyle,NP,Atkinson,387,Ruffin
