candidate_party,county,race,vote_type,votes
GEOFF DUNCAN  (REP),Whitfield,Lieutenant Governor - REP,Advance in Person,312
GEOFF DUNCAN  (REP),Wilcox,Lieutenant Governor - REP,Advance in Person,60
GEOFF DUNCAN  (REP),Wilkes,Lieutenant Governor - REP,Advance in Person,106
GEOFF DUNCAN  (REP),Wilkinson,Lieutenant Governor - REP,Advance in Person,29
GEOFF DUNCAN  (REP),Worth,Lieutenant Governor - REP,Advance in Person,171
GEOFF DUNCAN  (REP),Appling,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Atkinson,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Bacon,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Baker,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Baldwin,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Banks,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Barrow,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Bartow,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Ben Hill,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Berrien,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Bibb,Lieutenant Governor - REP,Provisional,4
GEOFF DUNCAN  (REP),Bleckley,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Brantley,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Brooks,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Bryan,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Bulloch,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Burke,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Butts,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Calhoun,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Camden,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Candler,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Carroll,Lieutenant Governor - REP,Provisional,7
GEOFF DUNCAN  (REP),Catoosa,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Charlton,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Chatham,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Chattahoochee,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Chattooga,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Cherokee,Lieutenant Governor - REP,Provisional,7
GEOFF DUNCAN  (REP),Clarke,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Clay,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Clayton,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Clinch,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Cobb,Lieutenant Governor - REP,Provisional,251
GEOFF DUNCAN  (REP),Coffee,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Colquitt,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Columbia,Lieutenant Governor - REP,Provisional,7
GEOFF DUNCAN  (REP),Cook,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Coweta,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Crawford,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Crisp,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Dade,Lieutenant Governor - REP,Provisional,11
GEOFF DUNCAN  (REP),Dawson,Lieutenant Governor - REP,Provisional,10
GEOFF DUNCAN  (REP),Decatur,Lieutenant Governor - REP,Provisional,5
GEOFF DUNCAN  (REP),DeKalb,Lieutenant Governor - REP,Provisional,99
GEOFF DUNCAN  (REP),Dodge,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Dooly,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Dougherty,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Douglas,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Early,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Echols,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Effingham,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Elbert,Lieutenant Governor - REP,Provisional,9
GEOFF DUNCAN  (REP),Emanuel,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Evans,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Fannin,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Fayette,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Floyd,Lieutenant Governor - REP,Provisional,6
GEOFF DUNCAN  (REP),Forsyth,Lieutenant Governor - REP,Provisional,12
GEOFF DUNCAN  (REP),Franklin,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Fulton,Lieutenant Governor - REP,Provisional,223
GEOFF DUNCAN  (REP),Gilmer,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Glascock,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Glynn,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Gordon,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Grady,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Greene,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Gwinnett,Lieutenant Governor - REP,Provisional,419
GEOFF DUNCAN  (REP),Habersham,Lieutenant Governor - REP,Provisional,4
GEOFF DUNCAN  (REP),Hall,Lieutenant Governor - REP,Provisional,8
GEOFF DUNCAN  (REP),Hancock,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Haralson,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Harris,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Hart,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Heard,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Henry,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Houston,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Irwin,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Jackson,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Jasper,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Jeff Davis,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Jefferson,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Jenkins,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Johnson,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Jones,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Lamar,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Lanier,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Laurens,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Lee,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Liberty,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Lincoln,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Long,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Lowndes,Lieutenant Governor - REP,Provisional,11
GEOFF DUNCAN  (REP),Lumpkin,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Macon,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Madison,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Marion,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),McDuffie,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),McIntosh,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Meriwether,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Miller,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Mitchell,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Monroe,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Montgomery,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Morgan,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Murray,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Muscogee,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Newton,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Oconee,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Oglethorpe,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Paulding,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Peach,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Pickens,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Pierce,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Pike,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Polk,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Pulaski,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Putnam,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Quitman,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Rabun,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Randolph,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Richmond,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Rockdale,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Schley,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Screven,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Seminole,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Spalding,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Stephens,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Stewart,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Sumter,Lieutenant Governor - REP,Provisional,3
GEOFF DUNCAN  (REP),Talbot,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Taliaferro,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Tattnall,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Taylor,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Telfair,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Terrell,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Thomas,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Tift,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Toombs,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Towns,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Treutlen,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Troup,Lieutenant Governor - REP,Provisional,6
GEOFF DUNCAN  (REP),Turner,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Twiggs,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Union,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Upson,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Walker,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Walton,Lieutenant Governor - REP,Provisional,2
GEOFF DUNCAN  (REP),Ware,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Warren,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Washington,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Wayne,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Webster,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Wheeler,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),White,Lieutenant Governor - REP,Provisional,4
GEOFF DUNCAN  (REP),Whitfield,Lieutenant Governor - REP,Provisional,1
GEOFF DUNCAN  (REP),Wilcox,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Wilkes,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Wilkinson,Lieutenant Governor - REP,Provisional,0
GEOFF DUNCAN  (REP),Worth,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Appling,Lieutenant Governor - REP,Election Day,608
DAVID SHAFER  (REP),Atkinson,Lieutenant Governor - REP,Election Day,165
DAVID SHAFER  (REP),Bacon,Lieutenant Governor - REP,Election Day,160
DAVID SHAFER  (REP),Baker,Lieutenant Governor - REP,Election Day,81
DAVID SHAFER  (REP),Baldwin,Lieutenant Governor - REP,Election Day,717
DAVID SHAFER  (REP),Banks,Lieutenant Governor - REP,Election Day,748
DAVID SHAFER  (REP),Barrow,Lieutenant Governor - REP,Election Day,2013
DAVID SHAFER  (REP),Bartow,Lieutenant Governor - REP,Election Day,2792
DAVID SHAFER  (REP),Ben Hill,Lieutenant Governor - REP,Election Day,172
DAVID SHAFER  (REP),Berrien,Lieutenant Governor - REP,Election Day,516
DAVID SHAFER  (REP),Bibb,Lieutenant Governor - REP,Election Day,2763
DAVID SHAFER  (REP),Bleckley,Lieutenant Governor - REP,Election Day,344
DAVID SHAFER  (REP),Brantley,Lieutenant Governor - REP,Election Day,339
DAVID SHAFER  (REP),Brooks,Lieutenant Governor - REP,Election Day,246
DAVID SHAFER  (REP),Bryan,Lieutenant Governor - REP,Election Day,649
DAVID SHAFER  (REP),Bulloch,Lieutenant Governor - REP,Election Day,1189
DAVID SHAFER  (REP),Burke,Lieutenant Governor - REP,Election Day,296
DAVID SHAFER  (REP),Butts,Lieutenant Governor - REP,Election Day,413
DAVID SHAFER  (REP),Calhoun,Lieutenant Governor - REP,Election Day,90
DAVID SHAFER  (REP),Camden,Lieutenant Governor - REP,Election Day,655
DAVID SHAFER  (REP),Candler,Lieutenant Governor - REP,Election Day,161
DAVID SHAFER  (REP),Carroll,Lieutenant Governor - REP,Election Day,2915
DAVID SHAFER  (REP),Catoosa,Lieutenant Governor - REP,Election Day,1010
DAVID SHAFER  (REP),Charlton,Lieutenant Governor - REP,Election Day,170
DAVID SHAFER  (REP),Chatham,Lieutenant Governor - REP,Election Day,4462
DAVID SHAFER  (REP),Chattahoochee,Lieutenant Governor - REP,Election Day,63
DAVID SHAFER  (REP),Chattooga,Lieutenant Governor - REP,Election Day,451
DAVID SHAFER  (REP),Cherokee,Lieutenant Governor - REP,Election Day,7994
DAVID SHAFER  (REP),Clarke,Lieutenant Governor - REP,Election Day,1380
DAVID SHAFER  (REP),Clay,Lieutenant Governor - REP,Election Day,39
DAVID SHAFER  (REP),Clayton,Lieutenant Governor - REP,Election Day,1189
DAVID SHAFER  (REP),Clinch,Lieutenant Governor - REP,Election Day,87
DAVID SHAFER  (REP),Cobb,Lieutenant Governor - REP,Election Day,18359
DAVID SHAFER  (REP),Coffee,Lieutenant Governor - REP,Election Day,631
DAVID SHAFER  (REP),Colquitt,Lieutenant Governor - REP,Election Day,821
DAVID SHAFER  (REP),Columbia,Lieutenant Governor - REP,Election Day,4054
DAVID SHAFER  (REP),Cook,Lieutenant Governor - REP,Election Day,287
DAVID SHAFER  (REP),Coweta,Lieutenant Governor - REP,Election Day,3738
DAVID SHAFER  (REP),Crawford,Lieutenant Governor - REP,Election Day,331
DAVID SHAFER  (REP),Crisp,Lieutenant Governor - REP,Election Day,380
DAVID SHAFER  (REP),Dade,Lieutenant Governor - REP,Election Day,291
DAVID SHAFER  (REP),Dawson,Lieutenant Governor - REP,Election Day,738
DAVID SHAFER  (REP),Decatur,Lieutenant Governor - REP,Election Day,454
DAVID SHAFER  (REP),DeKalb,Lieutenant Governor - REP,Election Day,7313
DAVID SHAFER  (REP),Dodge,Lieutenant Governor - REP,Election Day,541
DAVID SHAFER  (REP),Dooly,Lieutenant Governor - REP,Election Day,194
DAVID SHAFER  (REP),Dougherty,Lieutenant Governor - REP,Election Day,983
DAVID SHAFER  (REP),Douglas,Lieutenant Governor - REP,Election Day,2101
DAVID SHAFER  (REP),Early,Lieutenant Governor - REP,Election Day,148
DAVID SHAFER  (REP),Echols,Lieutenant Governor - REP,Election Day,64
DAVID SHAFER  (REP),Effingham,Lieutenant Governor - REP,Election Day,1317
DAVID SHAFER  (REP),Elbert,Lieutenant Governor - REP,Election Day,358
DAVID SHAFER  (REP),Emanuel,Lieutenant Governor - REP,Election Day,440
DAVID SHAFER  (REP),Evans,Lieutenant Governor - REP,Election Day,175
DAVID SHAFER  (REP),Fannin,Lieutenant Governor - REP,Election Day,865
DAVID SHAFER  (REP),Fayette,Lieutenant Governor - REP,Election Day,3489
DAVID SHAFER  (REP),Floyd,Lieutenant Governor - REP,Election Day,1904
DAVID SHAFER  (REP),Forsyth,Lieutenant Governor - REP,Election Day,4828
DAVID SHAFER  (REP),Franklin,Lieutenant Governor - REP,Election Day,567
DAVID SHAFER  (REP),Fulton,Lieutenant Governor - REP,Election Day,11140
DAVID SHAFER  (REP),Gilmer,Lieutenant Governor - REP,Election Day,931
DAVID SHAFER  (REP),Glascock,Lieutenant Governor - REP,Election Day,78
DAVID SHAFER  (REP),Glynn,Lieutenant Governor - REP,Election Day,1751
DAVID SHAFER  (REP),Gordon,Lieutenant Governor - REP,Election Day,1038
DAVID SHAFER  (REP),Grady,Lieutenant Governor - REP,Election Day,391
DAVID SHAFER  (REP),Greene,Lieutenant Governor - REP,Election Day,485
DAVID SHAFER  (REP),Gwinnett,Lieutenant Governor - REP,Election Day,18062
DAVID SHAFER  (REP),Habersham,Lieutenant Governor - REP,Election Day,1050
DAVID SHAFER  (REP),Hall,Lieutenant Governor - REP,Election Day,6234
DAVID SHAFER  (REP),Hancock,Lieutenant Governor - REP,Election Day,73
DAVID SHAFER  (REP),Haralson,Lieutenant Governor - REP,Election Day,1054
DAVID SHAFER  (REP),Harris,Lieutenant Governor - REP,Election Day,803
DAVID SHAFER  (REP),Hart,Lieutenant Governor - REP,Election Day,419
DAVID SHAFER  (REP),Heard,Lieutenant Governor - REP,Election Day,324
DAVID SHAFER  (REP),Henry,Lieutenant Governor - REP,Election Day,5246
DAVID SHAFER  (REP),Houston,Lieutenant Governor - REP,Election Day,2403
DAVID SHAFER  (REP),Irwin,Lieutenant Governor - REP,Election Day,174
DAVID SHAFER  (REP),Jackson,Lieutenant Governor - REP,Election Day,1834
DAVID SHAFER  (REP),Jasper,Lieutenant Governor - REP,Election Day,436
DAVID SHAFER  (REP),Jeff Davis,Lieutenant Governor - REP,Election Day,317
DAVID SHAFER  (REP),Jefferson,Lieutenant Governor - REP,Election Day,254
DAVID SHAFER  (REP),Jenkins,Lieutenant Governor - REP,Election Day,86
DAVID SHAFER  (REP),Johnson,Lieutenant Governor - REP,Election Day,272
DAVID SHAFER  (REP),Jones,Lieutenant Governor - REP,Election Day,733
DAVID SHAFER  (REP),Lamar,Lieutenant Governor - REP,Election Day,558
DAVID SHAFER  (REP),Lanier,Lieutenant Governor - REP,Election Day,152
DAVID SHAFER  (REP),Laurens,Lieutenant Governor - REP,Election Day,1050
DAVID SHAFER  (REP),Lee,Lieutenant Governor - REP,Election Day,674
DAVID SHAFER  (REP),Liberty,Lieutenant Governor - REP,Election Day,413
DAVID SHAFER  (REP),Lincoln,Lieutenant Governor - REP,Election Day,221
DAVID SHAFER  (REP),Long,Lieutenant Governor - REP,Election Day,173
DAVID SHAFER  (REP),Lowndes,Lieutenant Governor - REP,Election Day,885
DAVID SHAFER  (REP),Lumpkin,Lieutenant Governor - REP,Election Day,820
DAVID SHAFER  (REP),Macon,Lieutenant Governor - REP,Election Day,98
DAVID SHAFER  (REP),Madison,Lieutenant Governor - REP,Election Day,1096
DAVID SHAFER  (REP),Marion,Lieutenant Governor - REP,Election Day,122
DAVID SHAFER  (REP),McDuffie,Lieutenant Governor - REP,Election Day,342
DAVID SHAFER  (REP),McIntosh,Lieutenant Governor - REP,Election Day,335
DAVID SHAFER  (REP),Meriwether,Lieutenant Governor - REP,Election Day,640
DAVID SHAFER  (REP),Miller,Lieutenant Governor - REP,Election Day,160
DAVID SHAFER  (REP),Mitchell,Lieutenant Governor - REP,Election Day,342
DAVID SHAFER  (REP),Monroe,Lieutenant Governor - REP,Election Day,1026
DAVID SHAFER  (REP),Montgomery,Lieutenant Governor - REP,Election Day,306
DAVID SHAFER  (REP),Morgan,Lieutenant Governor - REP,Election Day,787
DAVID SHAFER  (REP),Murray,Lieutenant Governor - REP,Election Day,623
DAVID SHAFER  (REP),Muscogee,Lieutenant Governor - REP,Election Day,1955
DAVID SHAFER  (REP),Newton,Lieutenant Governor - REP,Election Day,2324
DAVID SHAFER  (REP),Oconee,Lieutenant Governor - REP,Election Day,1623
DAVID SHAFER  (REP),Oglethorpe,Lieutenant Governor - REP,Election Day,481
DAVID SHAFER  (REP),Paulding,Lieutenant Governor - REP,Election Day,3479
DAVID SHAFER  (REP),Peach,Lieutenant Governor - REP,Election Day,497
DAVID SHAFER  (REP),Pickens,Lieutenant Governor - REP,Election Day,1191
DAVID SHAFER  (REP),Pierce,Lieutenant Governor - REP,Election Day,350
DAVID SHAFER  (REP),Pike,Lieutenant Governor - REP,Election Day,643
DAVID SHAFER  (REP),Polk,Lieutenant Governor - REP,Election Day,829
DAVID SHAFER  (REP),Pulaski,Lieutenant Governor - REP,Election Day,120
DAVID SHAFER  (REP),Putnam,Lieutenant Governor - REP,Election Day,684
DAVID SHAFER  (REP),Quitman,Lieutenant Governor - REP,Election Day,45
DAVID SHAFER  (REP),Rabun,Lieutenant Governor - REP,Election Day,392
DAVID SHAFER  (REP),Randolph,Lieutenant Governor - REP,Election Day,143
DAVID SHAFER  (REP),Richmond,Lieutenant Governor - REP,Election Day,1956
DAVID SHAFER  (REP),Rockdale,Lieutenant Governor - REP,Election Day,1308
DAVID SHAFER  (REP),Schley,Lieutenant Governor - REP,Election Day,76
DAVID SHAFER  (REP),Screven,Lieutenant Governor - REP,Election Day,232
DAVID SHAFER  (REP),Seminole,Lieutenant Governor - REP,Election Day,251
DAVID SHAFER  (REP),Spalding,Lieutenant Governor - REP,Election Day,1506
DAVID SHAFER  (REP),Stephens,Lieutenant Governor - REP,Election Day,399
DAVID SHAFER  (REP),Stewart,Lieutenant Governor - REP,Election Day,66
DAVID SHAFER  (REP),Sumter,Lieutenant Governor - REP,Election Day,431
DAVID SHAFER  (REP),Talbot,Lieutenant Governor - REP,Election Day,107
DAVID SHAFER  (REP),Taliaferro,Lieutenant Governor - REP,Election Day,17
DAVID SHAFER  (REP),Tattnall,Lieutenant Governor - REP,Election Day,467
DAVID SHAFER  (REP),Taylor,Lieutenant Governor - REP,Election Day,173
DAVID SHAFER  (REP),Telfair,Lieutenant Governor - REP,Election Day,310
DAVID SHAFER  (REP),Terrell,Lieutenant Governor - REP,Election Day,181
DAVID SHAFER  (REP),Thomas,Lieutenant Governor - REP,Election Day,635
DAVID SHAFER  (REP),Tift,Lieutenant Governor - REP,Election Day,607
DAVID SHAFER  (REP),Toombs,Lieutenant Governor - REP,Election Day,389
DAVID SHAFER  (REP),Towns,Lieutenant Governor - REP,Election Day,328
DAVID SHAFER  (REP),Treutlen,Lieutenant Governor - REP,Election Day,103
DAVID SHAFER  (REP),Troup,Lieutenant Governor - REP,Election Day,1199
DAVID SHAFER  (REP),Turner,Lieutenant Governor - REP,Election Day,123
DAVID SHAFER  (REP),Twiggs,Lieutenant Governor - REP,Election Day,217
DAVID SHAFER  (REP),Union,Lieutenant Governor - REP,Election Day,840
DAVID SHAFER  (REP),Upson,Lieutenant Governor - REP,Election Day,568
DAVID SHAFER  (REP),Walker,Lieutenant Governor - REP,Election Day,1261
DAVID SHAFER  (REP),Walton,Lieutenant Governor - REP,Election Day,3745
DAVID SHAFER  (REP),Ware,Lieutenant Governor - REP,Election Day,591
DAVID SHAFER  (REP),Warren,Lieutenant Governor - REP,Election Day,82
DAVID SHAFER  (REP),Washington,Lieutenant Governor - REP,Election Day,231
DAVID SHAFER  (REP),Wayne,Lieutenant Governor - REP,Election Day,645
DAVID SHAFER  (REP),Webster,Lieutenant Governor - REP,Election Day,43
DAVID SHAFER  (REP),Wheeler,Lieutenant Governor - REP,Election Day,133
DAVID SHAFER  (REP),White,Lieutenant Governor - REP,Election Day,1193
DAVID SHAFER  (REP),Whitfield,Lieutenant Governor - REP,Election Day,1546
DAVID SHAFER  (REP),Wilcox,Lieutenant Governor - REP,Election Day,183
DAVID SHAFER  (REP),Wilkes,Lieutenant Governor - REP,Election Day,186
DAVID SHAFER  (REP),Wilkinson,Lieutenant Governor - REP,Election Day,225
DAVID SHAFER  (REP),Worth,Lieutenant Governor - REP,Election Day,540
DAVID SHAFER  (REP),Appling,Lieutenant Governor - REP,Absentee by Mail,54
DAVID SHAFER  (REP),Atkinson,Lieutenant Governor - REP,Absentee by Mail,8
DAVID SHAFER  (REP),Bacon,Lieutenant Governor - REP,Absentee by Mail,14
DAVID SHAFER  (REP),Baker,Lieutenant Governor - REP,Absentee by Mail,14
DAVID SHAFER  (REP),Baldwin,Lieutenant Governor - REP,Absentee by Mail,40
DAVID SHAFER  (REP),Banks,Lieutenant Governor - REP,Absentee by Mail,49
DAVID SHAFER  (REP),Barrow,Lieutenant Governor - REP,Absentee by Mail,91
DAVID SHAFER  (REP),Bartow,Lieutenant Governor - REP,Absentee by Mail,82
DAVID SHAFER  (REP),Ben Hill,Lieutenant Governor - REP,Absentee by Mail,8
DAVID SHAFER  (REP),Berrien,Lieutenant Governor - REP,Absentee by Mail,42
DAVID SHAFER  (REP),Bibb,Lieutenant Governor - REP,Absentee by Mail,136
DAVID SHAFER  (REP),Bleckley,Lieutenant Governor - REP,Absentee by Mail,17
DAVID SHAFER  (REP),Brantley,Lieutenant Governor - REP,Absentee by Mail,11
DAVID SHAFER  (REP),Brooks,Lieutenant Governor - REP,Absentee by Mail,9
DAVID SHAFER  (REP),Bryan,Lieutenant Governor - REP,Absentee by Mail,9
DAVID SHAFER  (REP),Bulloch,Lieutenant Governor - REP,Absentee by Mail,64
DAVID SHAFER  (REP),Burke,Lieutenant Governor - REP,Absentee by Mail,16
DAVID SHAFER  (REP),Butts,Lieutenant Governor - REP,Absentee by Mail,40
DAVID SHAFER  (REP),Calhoun,Lieutenant Governor - REP,Absentee by Mail,2
DAVID SHAFER  (REP),Camden,Lieutenant Governor - REP,Absentee by Mail,83
DAVID SHAFER  (REP),Candler,Lieutenant Governor - REP,Absentee by Mail,1
DAVID SHAFER  (REP),Carroll,Lieutenant Governor - REP,Absentee by Mail,82
DAVID SHAFER  (REP),Catoosa,Lieutenant Governor - REP,Absentee by Mail,18
